customer_id,segment,acquisition_date,channel,country,status,company_name,account_tier
C000001,D2C,2023-11-12,Paid Ads,US,Active,,
C000002,D2C,2024-08-07,Organic Social,US,Active,,
C000003,D2C,2022-01-29,Email,UK,Active,,
C000004,D2C,2024-05-11,Referral,UK,Active,,
C000005,D2C,2024-10-15,Paid Ads,US,Active,,
C000006,D2C,2024-05-08,Organic Social,DE,Churned,,
C000007,D2C,2024-06-01,SEO,UK,Churned,,
C000008,D2C,2022-08-31,Paid Ads,US,Active,,
C000009,D2C,2023-11-08,Organic Social,US,Active,,
C000010,D2C,2023-11-21,Paid Ads,CA,Churned,,
C000011,D2C,2024-11-18,Email,UK,Active,,
C000012,D2C,2022-09-01,Organic Social,US,Active,,
C000013,D2C,2024-07-21,Email,US,Active,,
C000014,D2C,2022-10-09,Email,US,Active,,
C000015,D2C,2023-03-01,Sales,UK,Active,,
C000016,D2C,2022-04-27,Referral,US,Churned,,
C000017,D2C,,Sales,AU,Active,,
C000018,D2C,2023-12-27,Paid Ads,UK,Active,,
C000019,D2C,2023-04-28,SEO,US,At Risk,,
C000020,D2C,2024-08-29,Paid Ads,UK,Churned,,
C000021,D2C,,Referral,UK,Active,,
C000022,D2C,2022-01-21,SEO,CA,At Risk,,
C000023,D2C,2024-07-23,Paid Ads,US,At Risk,,
C000024,D2C,2024-03-25,Organic Social,UK,Active,,
C000025,D2C,2023-03-27,Organic Social,CA,Active,,
C000026,D2C,2024-11-24,Organic Social,UK,Active,,
C000027,D2C,2022-12-26,Paid Ads,US,Churned,,
C000028,D2C,2022-09-01,SEO,US,At Risk,,
C000029,D2C,2022-08-16,SEO,UK,Active,,
C000030,D2C,2024-05-09,Paid Ads,US,Active,,
C000031,D2C,2024-02-15,Sales,US,Churned,,
C000032,D2C,2024-07-05,Paid Ads,US,Active,,
C000033,D2C,2022-09-23,Organic Social,AU,At Risk,,
C000034,D2C,2024-11-29,SEO,AU,Churned,,
C000035,D2C,2023-06-01,Organic Social,US,Active,,
C000036,D2C,2022-10-10,Organic Social,US,Churned,,
C000037,D2C,2023-08-15,Paid Ads,US,Churned,,
C000038,D2C,2023-07-31,Paid Ads,UK,Churned,,
C000039,D2C,2022-06-17,Paid Ads,US,At Risk,,
C000040,D2C,2022-09-08,SEO,US,Active,,
C000041,D2C,2023-03-23,Organic Social,AU,Churned,,
C000042,D2C,2022-09-11,Email,US,Active,,
C000043,D2C,2022-03-19,Sales,DE,Churned,,
C000044,D2C,2022-10-10,SEO,AU,At Risk,,
C000045,D2C,2024-06-06,,DE,Churned,,
C000046,D2C,2024-05-19,Email,AU,Active,,
C000047,D2C,2022-04-24,Paid Ads,UK,Churned,,
C000048,D2C,2023-11-06,Organic Social,AU,Active,,
C000049,D2C,2023-03-27,Paid Ads,CA,Active,,
C000050,D2C,2024-02-28,Organic Social,US,Active,,
C000051,D2C,2024-08-19,SEO,UK,Active,,
C000052,D2C,2022-11-24,Referral,AU,Churned,,
C000053,D2C,2022-09-23,Referral,AU,Active,,
C000054,D2C,2022-06-14,SEO,DE,At Risk,,
C000055,D2C,2022-01-27,Organic Social,AU,Churned,,
C000056,D2C,2024-05-12,Referral,US,Active,,
C000057,D2C,2022-08-25,Organic Social,US,Churned,,
C000058,D2C,2022-01-26,Organic Social,AU,Active,,
C000059,D2C,2023-11-14,Sales,UK,Active,,
